# creator_id:
# - orcid:0000-0002-6379-8932
# - orcid:0000-0002-8461-9745
# curie_map:
#   CO_320: http://purl.obolibrary.org/obo/CO_320_
#   TO: http://purl.obolibrary.org/obo/TO_
#   orcid: https://orcid.org/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_group: rice_mappings
# mapping_set_id: co_320_to
# mapping_set_title: 'Rice Mappings: CO_320-TO'
# object_source: http://purl.obolibrary.org/to.owl
# object_source_version: http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
# subject_source: https://cropontology.org/ontology/CO_320/Rice/owl
# subject_source_version: https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	creator_id	subject_source_version	object_source_version	confidence
CO_320:0000004	grain length	rdfs:subClassOf	TO:0000734	grain length	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000005	grain width	rdfs:subClassOf	TO:0000402	dehulled grain width	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000006	leaf blade color	rdfs:subClassOf	TO:0000299	leaf lamina color	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000009	panicle number	rdfs:subClassOf	TO:0000152	panicle number	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000011	leaf length	rdfs:subClassOf	TO:0000135	leaf length	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000013	leaf blade pubescence	rdfs:subClassOf	TO:0000055	leaf lamina pubescence	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000014	leaf angle	rdfs:subClassOf	TO:0000206	leaf angle	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000015	awning	skos:broadMatch	TO:0002718	awn morphology trait	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000016	culm internode anthocyanin	skos:broadMatch	TO:0000071	anthocyanin content	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
CO_320:0000017	flag leaf angle	rdfs:subClassOf	TO:0000124	flag leaf angle	sssom:HumanCuration	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_320-rice-traits/71090cc35c45e1b4b628c9256f2ab54949409b77/Rice_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl	1.0
