Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13
,CO_320:0000625,AP_Lab_1to9,AP,,,,"IRIS:161, SES:22",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000092,abortion pattern,Phenological,Describes the stage at which pollen grains abort in male sterile lines.,abortion stage,AP,,Pollen,Abortion pattern,,"TO:0000218, IRIS:1023",CO_320:0000330,abortion pattern estimation,Estimation,"Collect florets and fix in 3:1 Acetic acid:alcohol solution. Squeeze out pollen grains under a drop of acetocarmine stain, observe under a microscope at 10x10 magnification, and estimate the predominant staining behavior and number of nuclei visible",,"IRIS:161, SES:22",CO_320:0000331,abortion pattern scale,Nominal,,,,,"1= Pollen free (TGMS line, e.g. Norin PL12)",2=,"3= Abortion at uni-nucleate stage of pollen (CMS-WA"" type)""",4=,"5= Abortion at binucleate stage of pollen (CMS-HL"" type)""",6=,"7= Abortion at trinucleate stage of pollen (CMS-boro"" type)""",8=,9= Abortion at later stage: pollen grains look like fertile pollen (518A cytoplasm from O. nivara),,,,
,CO_320:0000626,AlkInj_Est_1to9,ALK,,,,"IRIS:348, SES:70",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000055,alkali injury,Abiotic stress,The extent to which plant growth is adversely affected in alkaline soils,Alkali tolerance,AlkInj,,Alkali,Injury,,"TO:0000481, IRIS:1202",CO_320:0000516,alkali injury assessment,Estimation,"Observe growth in alkaline soil in relation to standard resistant and susceptible checks. Since some soil problems are very heterogenous in the field, several replications may be needed to obtain reliable scores.",,"IRIS:348, SES:70",CO_320:0000917,alkali injury scale,Ordinal,,,,,1= Growth and tillering nearly normal,3= Growth nearly normal but there is some reduction in tillering and some leaves discolored,"5= Growth and tillering reduced, most leaves discolored, only a few elongating","7= Growth completely ceases, mostleaves dry, some plants dying",9= Almost all plants dead or dying,,,,,,,,
,CO_320:0000627,AmyCt_Meas_Pct,AMY,,,"Standard CIAT, FLAR",SES:130,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000102,amylose content,Quality,Amylose content of milled rice as a proportion or percentage of the total amount of rice,,AmyCt,,Milled caryopsis,amylose content,,"TO:0000196, IRIS:1251",CO_320:0000329,amylose content - NIRS,Computation,Take a milled rice NIR spectrum and predict the amylose content using chemiometrics.,,SES:130,CO_320:0000908,%,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000628,AnCo_Est_1to2,ANCO,,,,RD:7.4.4,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000894,anther colour,Morphological,Colour of anther,,AnCo,,Anther,Colour,,TO:0000187,CO_320:0000517,anther colour examination,Estimation,"Using a hand lens, examine the colour of the anthers when the florets are open (between 09:00 and 14:00 during anthesis). Compare against a colour chart or colour-accurate photographs of references. Use 3-digit scale codes for common scoring system across all colour traits",,RD:7.4.4,CO_320:0000918,anther colour scale,Nominal,,,,,1= 030= Yellow,2= 050= Brown,,,,,,,,,,,
,CO_320:0000629,AnLt_Av_mm,AL,,,,"IRIS:603, RD:7.4.3",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000150,anther length,Morphological,Anther length,,AnLt,,Anther,Length,,"TO:0000531, IRIS:1537",CO_320:0000220,anther length measurement,Computation,Measure five anthers exposed at anthesis and calculate their average,,"IRIS:603, RD:7.4.3",CO_320:0000221,mm,Numerical,,,,,,,,,,,,,,,,,
,CO_320:0000630,BApAnth_ImmatEst_0to7,,,,,"RD:7.4.7, UPOV:22",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000895,anthocyanin below apiculus,Morphological,Intensity of purple colour attributable to anthocyanin on the area just below the apiculus of the lemma,,BApAnth,,Lemma below apiculus,Anthocyanin content,,,CO_320:0000518,anthocyanin below apiculus examination immature,Estimation,Examine the colour of the area just below the apiculus of immature lemmas and estimate the intensity of any purple colour attributable to anthocyanin,,"RD:7.4.7, UPOV:22",CO_320:0000919,anthocyanin below apiculus scale immature,Ordinal,,,,,0= Absent,1= Very weak,3= Weak,5= Medium,7= Strong,,,,,,,,
,CO_320:0000631,BApAnth_MatEst_0to7,,,,,"RD:7.5.7, UPOV:49",IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000895,anthocyanin below apiculus,Morphological,Intensity of purple colour attributable to anthocyanin on the area just below the apiculus of the lemma,,BApAnth,,Lemma below apiculus,Anthocyanin content,,,CO_320:0000519,anthocyanin below apiculus examination mature,Estimation,Examine the colour of the area just below the apiculus of mature lemmas and estimate the intensity of any purple colour attributable to anthocyanin,,"RD:7.5.7, UPOV:49",CO_320:0000920,anthocyanin below apiculus scale mature,Ordinal,,,,,0= Absent,1= Very weak,3= Weak,5= Medium,7= Strong,9= very strong,,,,,,,
,CO_320:0000632,ApAnth_ImmatEst_0to9,,,,,UPOV:23,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000896,apiculus anthocyanin,Morphological,Intensity of purple colour attributable to anthocyanin on the apiculus of the lemma,,ApAnth,,Apiculus of lemma,Anthocyanin content,,,CO_320:0000520,immature apiculus anthocyanin examination,Estimation,Examine the intensity of any purple colour attributable to anthocyanin on the apiculus of immature lemmas,,UPOV:23,CO_320:0000921,immature apiculus anthocyanin scale,Ordinal,,,,,0= Absent,1= Very weak,3= Weak,5= Medium,7= Strong,9= very strong,,,,,,,
,CO_320:0000633,ApAnth_MatEst_0to9,,,,,UPOV:50,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000896,apiculus anthocyanin,Morphological,Intensity of purple colour attributable to anthocyanin on the apiculus of the lemma,,ApAnth,,Apiculus of lemma,Anthocyanin content,,,CO_320:0000521,mature apiculus anthocyanin examination,Estimation,Examine the apiculus of mature lemmas and estimate the intensity of any purple colour attributable to anthocyanin,,UPOV:50,CO_320:0000922,mature apiculus anthocyanin scale,Ordinal,,,,,0= Absent,1= Very weak,3= Weak,5= Medium,7= Strong,9= very strong,,,,,,,
,CO_320:0000634,ApCol_ImmatEst_UPOV1to6,APC,,,,UPOV:37,IRRI,Jeffrey Detras,,EN,Rice,CO_320:0000037,apiculus color,Morphological,Color of the apiculus of the lemma,,ApCol,APCO,Apiculus of lemma,Colour,,"TO:0000140, IRIS:1086",CO_320:0000426,immature apiculus color examination,Estimation,Examine the colour of the apiculus of immature lemmas against a colour chart or colour-accurate photographs of references,,"IRIS:654, RD:7.4.6, UPOV:37",CO_320:0000427,immature apiculus color UPOV scale,Nominal,,,,,1= white,2= yellowish,3= brown,4= red,5= purple,6= black,,,,,,,
