Curation	Scientist	Institution	Language of submission	Date of submission	Crop	Trait ID	Trait	Entity	Attribute	Trait synonyms	Trait abbreviations	Trait description	Trait class	Trait status	Trait Xref	Method ID	Method	Method description	Formula	Method class	Method reference	Scale id	Scale name	Scale class	Decimal places	Lower limit	Upper limit	Scale Xref	Category 1	Category 2	Category 3	Category 4	Category 5	Category 6	Category 7	Category 8	Category 9	Category 10	Category 11	Category 12	Category 13	Variable ID	Variable name	Variable synonyms	Context of use	Growth stage	Variable status	Variable Xref	
		IRRI	EN		Rice	CO_320:0000092	abortion pattern	Pollen	Abortion pattern	abortion stage	AP	Describes the stage at which pollen grains abort in male sterile lines. 	Phenological		"TO:0000218, IRIS:1023"	CM_320:0000330	abortion pattern estimation	"Collect florets and fix in 3:1 Acetic acid:alcohol solution. Squeeze out pollen grains under a drop of acetocarmine stain, observe under a microscope at 10x10 magnification, and estimate the predominant staining behavior and number of nuclei visible "		Estimation	"IRIS:161, SES:22"	CS_320:0000331	abortion pattern scale	Nominal					"1= Pollen free (TGMS line, e.g. Norin PL12)"	2=	"3= Abortion at uni-nucleate stage of pollen (""CMS-WA"" type)"	4=	"5= Abortion at binucleate stage of pollen (""CMS-HL"" type)"	6=	"7= Abortion at trinucleate stage of pollen (""CMS-boro"" type)"	8=	9= Abortion at later stage: pollen grains look like fertile pollen (518A cytoplasm from O. nivara)					CV_320:0000625	AP_Lab_1to9	AP				"IRIS:161, SES:22"	
		IRRI	EN		Rice	CO_320:0000055	alkali injury	Alkali	Injury	Alkali tolerance	AlkInj	The extent to which plant growth is adversely affected in alkaline soils 	Abiotic stress		"TO:0000481, IRIS:1202"	CM_320:0000516	alkali injury assessment	"Observe growth in alkaline soil in relation to standard resistant and susceptible checks. Since some soil problems are very heterogenous in the field, several replications may be needed to obtain reliable scores. "		Estimation	"IRIS:348, SES:70"	CS_320:0000503	alkali injury scale	Ordinal					1= Growth and tillering nearly normal	3= Growth nearly normal but there is some reduction in tillering and some leaves discolored	"5= Growth and tillering reduced, most leaves discolored, only a few elongating"	"7= Growth completely ceases, mostleaves dry, some plants dying"	9= Almost all plants dead or dying									CV_320:0000626	AlkInj_Est_1to9	ALK				"IRIS:348, SES:70"	
		IRRI	EN		Rice	CO_320:0000102	amylose content	Milled caryopsis	amylose content		AmyCt	Amylose content of milled rice as a proportion or percentage of the total amount of rice	Quality		"TO:0000196, IRIS:1251"	CM_320:0000329	amylose content	Use standard laboratory procedure to determine amylose content. 		Measurement	SES:130	CS_320:0000494	%	Numerical																		CV_320:0000627	AmyCt_Meas_Pct	AMY				SES:130	
		IRRI	EN		Rice	CO_320:0000483	anther colour	Anther	Colour		AnCo	Colour of anther	Morphological		TO:0000187	CM_320:0000517	anther colour examination	"Using a hand lens, examine the colour of the anthers when the florets are open (between 09:00 and 14:00 during anthesis). Compare against a colour chart or colour-accurate photographs of references. Use 3-digit scale codes for common scoring system across all colour traits "		Estimation	RD:7.4.4	CS_320:0000504	anther colour scale	Nominal					1= 030= Yellow	2= 050= Brown												CV_320:0000628	AnCo_Est_1to2	ANCO				RD:7.4.4	
		IRRI	EN		Rice	CO_320:0000150	anther length	Anther	Length		AnLt	Anther length 	Morphological		"TO:0000531, IRIS:1537"	CM_320:0000220	anther length measurement	Measure five anthers exposed at anthesis and calculate their average 		Computation	"IRIS:603, RD:7.4.3"	CS_320:0000221	mm	Numerical																		CV_320:0000629	AnLt_Av_mm	AL				"IRIS:603, RD:7.4.3"	
		IRRI	EN		Rice	CO_320:0000484	anthocyanin below apiculus	Lemma below apiculus	Anthocyanin content		BApAnth	Intensity of purple colour attributable to anthocyanin on the area just below the apiculus of the lemma	Morphological			CM_320:0000518	anthocyanin below apiculus examination immature	Examine the colour of the area just below the apiculus of immature lemmas and estimate the intensity of any purple colour attributable to anthocyanin 		Estimation	"RD:7.4.7, UPOV:22"	CS_320:0000505	anthocyanin below apiculus scale immature	Ordinal					0= Absent	1= Very weak	3= Weak	5= Medium	7= Strong									CV_320:0000630	BApAnth_ImmatEst_0to7					"RD:7.4.7, UPOV:22"	
		IRRI	EN		Rice	CO_320:0000484	anthocyanin below apiculus	Lemma below apiculus	Anthocyanin content		BApAnth	Intensity of purple colour attributable to anthocyanin on the area just below the apiculus of the lemma	Morphological			CM_320:0000519	anthocyanin below apiculus examination mature	Examine the colour of the area just below the apiculus of mature lemmas and estimate the intensity of any purple colour attributable to anthocyanin 		Estimation	"RD:7.5.7, UPOV:49"	CS_320:0000506	anthocyanin below apiculus scale mature	Ordinal					0= Absent	1= Very weak	3= Weak	5= Medium	7= Strong	9= very strong								CV_320:0000631	BApAnth_MatEst_0to7					"RD:7.5.7, UPOV:49"	
		IRRI	EN		Rice	CO_320:0000485	apiculus anthocyanin	Apiculus of lemma	Anthocyanin content		ApAnth	Intensity of purple colour attributable to anthocyanin on the apiculus of the lemma	Morphological			CM_320:0000520	immature apiculus anthocyanin examination	Examine the intensity of any purple colour attributable to anthocyanin on the apiculus of immature lemmas 		Estimation	UPOV:23	CS_320:0000507	immature apiculus anthocyanin scale	Ordinal					0= Absent	1= Very weak	3= Weak	5= Medium	7= Strong	9= very strong								CV_320:0000632	ApAnth_ImmatEst_0to9					UPOV:23	
		IRRI	EN		Rice	CO_320:0000485	apiculus anthocyanin	Apiculus of lemma	Anthocyanin content		ApAnth	Intensity of purple colour attributable to anthocyanin on the apiculus of the lemma	Morphological			CM_320:0000521	mature apiculus anthocyanin examination	Examine the apiculus of mature lemmas and estimate the intensity of any purple colour attributable to anthocyanin 		Estimation	UPOV:50	CS_320:0000508	mature apiculus anthocyanin scale	Ordinal					0= Absent	1= Very weak	3= Weak	5= Medium	7= Strong	9= very strong								CV_320:0000633	ApAnth_MatEst_0to9					UPOV:50	
		IRRI	EN		Rice	CO_320:0000037	apiculus color	Apiculus of lemma	Colour		"ApCol, APCO"	Color of the apiculus of the lemma 	Morphological		"TO:0000140, IRIS:1086"	CM_320:0000426	immature apiculus color examination	Examine the colour of the apiculus of immature lemmas against a colour chart or colour-accurate photographs of references 		Estimation	"IRIS:654, IRIS_SCALE:657, RD:7.4.6, UPOV:37"	CS_320:0000427	immature apiculus color UPOV scale	Nominal					1= white	2= yellowish	3= brown	4= red	5= purple	6= black								CV_320:0000634	ApCol_ImmatEst_UPOV1to6	APC				UPOV:37	
